	Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
23927	Recording035	participant17_trial03	Entire Recording	1		Fixation	Partial	1	0	195	195			0.68903	0.41965	3.98694										
23928	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	2	315	645	330			0.6702899999999999	0.44583	3.96466										
23929	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	1	645	675	30							247.47	315.08				0.6702899999999999	0.44583		
23930	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	2	715	745	30							1122.29	1122.29							
23931	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	3	785	805	20							412.33	412.33							
23932	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	4	874	894	20							103.4	103.4						0.45218	0.3407
23933	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	3	894	1254	360			0.45218	0.3407	3.62625										
23934	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	4	1274	1454	180			0.41295	0.40966	3.2227200000000003										
23935	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	5	1544	1854	310			0.38181	0.46506000000000003	3.08607										
23936	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	6	1874	2064	190			0.3919	0.45083999999999996	3.08774										
23937	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	5	2064	2084	20							143.57	143.57				0.3919	0.45083999999999996		
23938	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	6	2164	2204	40							147.83	152.88							
23939	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	7	2214	2244	30							366.23	460.93							
23940	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	8	2673	2713	40							205.35	278.25							
23941	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	9	2733	2763	30							196.77	233.69							
23942	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	7	2843	2953	110			0.19277	0.76631	2.9593700000000003										
23943	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Whole	10	2953	2973	20						13.52	167.92	175.87	8.45			0.19277	0.76631	0.30038000000000004	0.74043
23944	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Whole	8	2973	3083	110			0.30038000000000004	0.74043	2.81009										
23945	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Whole	11	3083	3093	10						1.45	124.24	124.24	6.06			0.30038000000000004	0.74043	0.37405	0.73857
23946	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	9	3093	3203	110			0.37405	0.73857	2.74499										
23947	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	10	3243	3493	250			0.38737	0.71433	2.66114										
23948	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	11	3573	3873	300			0.37811999999999996	0.7096100000000001	2.6008										
23949	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	12	3893	4053	160			0.39684	0.6807300000000001	2.62378										
23950	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	12	4143	4173	30							153.38	174.39							
23951	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	13	4242	4492	250			0.41413	0.56455	2.66506										
23952	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	14	4512	4892	380			0.42289	0.6194	2.61747										
23953	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	15	4932	5082	150			0.38422	0.6332899999999999	2.62562										
23954	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	13	5082	5112	30							160.04	176.87				0.38422	0.6332899999999999		
23955	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	14	5132	5172	40							238.25	259.18							
23956	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	15	5282	5302	20							176.94	176.94							
23957	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	16	5452	5492	40							252.92	315.79							
23958	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	17	5532	5562	30							279.8	329.39							
23959	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	18	5592	5602	10							102.56	102.56							
23960	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	19	5642	5662	20							197.56	197.56							
23961	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	20	5682	5702	20							138.43	138.43						0.5963	0.47726
23962	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	16	5702	5902	200			0.5963	0.47726	2.79852										
23963	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	21	5941	5981	40							213.15	254.83							
23964	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	22	6021	6031	10							112.17	112.17							
23965	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	17	6111	6321	210			0.56598	0.4954	2.85252										
23966	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	23	6391	6421	30							261.27	331.29							
23967	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	18	6491	6611	120			0.59205	0.5556	2.9209099999999997										
23968	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	19	6761	7061	300			0.6089399999999999	0.52064	2.99428										
23969	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	20	7081	7161	80			0.63531	0.4708	3.0489599999999997										
23970	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	21	7181	7291	110			0.64389	0.47139	3.032										
23971	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	22	7331	7740	410			0.65046	0.50507	3.04399										
23972	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	23	7760	7870	110			0.63689	0.46785	2.98933										
23973	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	24	7910	8040	130			0.63198	0.47368000000000005	3.00026										
23974	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	25	8060	8190	130			0.60648	0.50836	2.96228										
23975	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	26	8240	8320	80			0.62361	0.48922	2.96448										
23976	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	27	8340	8460	120			0.63438	0.50065	2.98604										
23977	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	28	8510	8720	210			0.64761	0.46648999999999996	2.98727										
23978	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	29	8740	8810	70			0.64042	0.46743999999999997	2.98849										
23979	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	24	8810	8830	20							124.61	125.98				0.64042	0.46743999999999997		
23980	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	25	8840	8870	30							122.62	130.14							
23981	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	26	8890	8910	20							134.73	134.73							
23982	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	30	9849	9969	120			0.5687800000000001	0.5695	2.79457										
23983	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	27	9969	9989	20							231.54	231.54				0.5687800000000001	0.5695		
23984	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	28	10149	10169	20							165.34	165.34							
23985	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	29	10219	10229	10							100.79	100.79							
23986	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	31	10259	10339	80			0.27057	0.69035	2.84295										
23987	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	32	10429	10609	180			0.33074000000000003	0.58829	2.75745										
23988	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	30	10739	10769	30							658.82	806.3							
