	Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
45686	Recording064	participant13_trial02	Entire Recording	1		Fixation	Partial	1	0	85	85			0.45664	0.12880999999999998	2.44183										
45687	Recording064	participant13_trial02	Entire Recording	1		Saccade	Partial	1	85	145	60							223.22	286.82				0.45664	0.12880999999999998		
45688	Recording064	participant13_trial02	Entire Recording	1	fullstream	Saccade	Partial	2	565	645	80							206.49	294.12							
45689	Recording064	participant13_trial02	Entire Recording	1	fullstream	Saccade	Partial	3	825	845	20							245.55	245.55							
45690	Recording064	participant13_trial02	Entire Recording	1	fullstream	Saccade	Partial	4	855	904	50							203.37	303.82							
45691	Recording064	participant13_trial02	Entire Recording	1	fullstream	Saccade	Partial	5	924	944	20							134.09	135.77							
45692	Recording064	participant13_trial02	Entire Recording	1	fullstream	Saccade	Partial	6	984	1014	30							225.58	225.58							
45693	Recording064	participant13_trial02	Entire Recording	1	fullstream	Saccade	Partial	7	1034	1074	40							213.55	249.49							
45694	Recording064	participant13_trial02	Entire Recording	1	fullstream	Saccade	Partial	8	1144	1204	60							215.66	335.72							
45695	Recording064	participant13_trial02	Entire Recording	1	fullstream	Saccade	Partial	9	1264	1294	30							159.97	185.55							
45696	Recording064	participant13_trial02	Entire Recording	1	fullstream	Saccade	Partial	10	1304	1324	20							227.64	255.09							
45697	Recording064	participant13_trial02	Entire Recording	1	fullstream	Saccade	Partial	11	1344	1364	20							113.44	113.44							
45698	Recording064	participant13_trial02	Entire Recording	1	fullstream	Saccade	Partial	12	1414	1474	60							335.49	602.37							
45699	Recording064	participant13_trial02	Entire Recording	1	fullstream	Fixation	Partial	2	1514	1804	290			0.57517	0.5079	2.2922700000000003										
45700	Recording064	participant13_trial02	Entire Recording	1	fullstream	Saccade	Partial	13	1804	1854	50							306.48	449.8				0.57517	0.5079		
