	Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
69150	Recording091	participant18_trial02	Entire Recording	1		Saccade	Partial	1	45	55	10							124.29	124.29						0.50538	0.22966999999999999
69151	Recording091	participant18_trial02	Entire Recording	1		Fixation	Partial	1	55	175	120			0.50538	0.22966999999999999	2.93687										
69152	Recording091	participant18_trial02	Entire Recording	1		Fixation	Partial	2	335	485	150			0.50834	0.22055	2.93803										
69153	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	3	565	1284	720			0.5141100000000001	0.22466	2.96026										
69154	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	2	1284	1314	30							373.62	443.46				0.5141100000000001	0.22466		
69155	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	3	1334	1374	40							218.66	317.84						0.35529	0.64635
69156	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Whole	4	1374	1524	150			0.35529	0.64635	3.09708										
69157	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	4	1524	1614	90							163.36	258.24				0.35529	0.64635		
69158	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	5	1634	1704	70							132.22	147.55							
69159	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	6	1764	1784	20							331.44	331.44							
69160	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	7	1804	1854	50							231.37	351.07							
69161	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	8	2054	2124	70							239.92	352.76							
69162	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	9	2164	2194	30							315.32	372.36							
69163	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	10	2204	2254	50							209.02	259.99							
69164	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	11	2364	2394	30							394.99	461.2							
69165	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	12	2444	2494	50							154.95	217.13							
69166	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	13	2534	2593	60							184.46	210.0							
69167	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	14	2633	2673	40							136.91	147.43							
69168	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	15	2703	2813	110							137.54	214.73							
69169	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	16	2823	2863	40							123.06	127.47							
69170	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	5	2903	3133	230			0.41913999999999996	0.43112	2.9870799999999997										
69171	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	6	3153	3263	110			0.45221999999999996	0.48708999999999997	2.87339										
69172	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	17	3283	3343	60							235.02	393.81							
69173	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	18	3413	3443	30							462.8	462.8							
69174	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	19	3483	3513	30							288.7	333.47							
69175	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	7	3553	3643	90			0.42781	0.66905	2.62492										
69176	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	20	3713	3733	20							106.82	106.82							
69177	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	21	3803	3823	20							131.73	131.73							
69178	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	22	4163	4193	30							233.17	233.17							
69179	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	8	4253	4342	90			0.48331999999999997	0.8260299999999999	2.66392										
69180	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	23	4392	4412	20							150.0	155.03							
69181	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	24	4692	4712	20							132.65	132.65							
69182	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	25	4732	4772	40							141.33	153.99						0.47363999999999995	0.7460399999999999
69183	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Whole	9	4772	4852	80			0.47363999999999995	0.7460399999999999	2.61968										
69184	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	26	4852	4872	20							104.29	104.29				0.47363999999999995	0.7460399999999999		
69185	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	27	4952	4972	20							216.29	228.43							
69186	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	28	5352	5372	20							267.71	267.71						0.44873	0.7348899999999999
69187	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	10	5372	5462	90			0.44873	0.7348899999999999	2.62082										
69188	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	29	5552	5562	10							101.99	101.99							
69189	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	30	5602	5632	30							141.69	149.95							
69190	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	31	5652	5672	20							171.97	205.56							
69191	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	32	5682	5712	30							246.35	273.63							
69192	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	33	5772	5862	90							267.36	401.33							
69193	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	34	5882	5902	20							148.06	148.06							
69194	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	35	5922	5952	30							160.78	202.56							
69195	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	36	5962	5982	20							163.01	175.86							
69196	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	37	6041	6071	30							132.94	144.27						0.6635800000000001	0.7602399999999999
69197	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	11	6071	6141	70			0.6635800000000001	0.7602399999999999	2.74665										
69198	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	38	6221	6241	20							118.64	118.64						0.62888	0.79689
69199	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	12	6241	6351	110			0.62888	0.79689	2.77605										
69200	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	39	6401	6431	30							245.26	245.26							
69201	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	40	6501	6521	20							157.85	157.85							
69202	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	41	6941	6971	30							223.16	270.64						0.5184300000000001	0.8945200000000001
69203	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Whole	13	6971	7081	110			0.5184300000000001	0.8945200000000001	2.92004										
69204	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	42	7081	7101	20							194.14	235.61				0.5184300000000001	0.8945200000000001		
69205	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	43	7231	7281	50							360.8	478.31							
69206	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	14	7301	7431	130			0.58567	0.49196999999999996	3.04475										
69207	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	15	7451	7641	190			0.6087600000000001	0.4676	3.06007										
69208	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Whole	44	7641	7661	20						306.24	130.0	131.94	3.0			0.6087600000000001	0.4676	0.64102	0.51161
69209	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	16	7661	7910	250			0.64102	0.51161	3.05189										
69210	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	45	8070	8120	50							240.52	252.24							
69211	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	46	8130	8160	30							333.82	333.82							
69212	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	47	8330	8460	130							370.99	570.48							
69213	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	48	8490	8510	20							151.04	180.33							
69214	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	49	8540	8560	20							159.75	181.71							
