	Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
20142	Recording031	participant27_trial02	Entire Recording	1		Fixation	Partial	1	0	175	175			0.63895	0.37792	3.9078699999999995										
20143	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	2	295	515	220			0.62975	0.36698000000000003	3.9063										
20144	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	3	555	1074	520			0.6044	0.37359000000000003	4.01778										
20145	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	4	1094	1314	220			0.58709	0.37856	4.03941										
20146	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	5	1394	1604	210			0.59304	0.37004000000000004	4.08707										
20147	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	6	1644	2014	370			0.5985199999999999	0.35625999999999997	4.0639										
20148	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	7	2054	2224	170			0.59416	0.36554000000000003	4.08976										
20149	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	8	2244	2324	80			0.58667	0.37151	4.12491										
20150	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	9	2344	2434	90			0.54493	0.36294	4.0961										
20151	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	1	2434	2454	20							101.77	101.77				0.54493	0.36294		
20152	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	10	2643	2713	70			0.35562	0.39127	3.86825										
20153	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	2	2753	2793	40							221.07	333.61							
