	Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
60697	Recording080	participant14_trial03	Entire Recording	1		Fixation	Partial	1	0	175	175			0.44461999999999996	0.39643	3.2885400000000002										
60698	Recording080	participant14_trial03	Entire Recording	1		Fixation	Partial	2	275	425	150			0.44656	0.39492	3.22289										
60699	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	1	425	465	40							225.67	249.39				0.44656	0.39492		
60700	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	2	1174	1204	30							129.75	130.91						0.10198	0.9420000000000001
60701	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Whole	3	1204	1284	80			0.10198	0.9420000000000001	3.66035										
60702	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	3	1284	1304	20							104.84	104.84				0.10198	0.9420000000000001		
60703	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	4	1364	1404	40							337.5	407.54							
60704	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	5	1614	1694	80							142.65	199.65							
60705	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	6	1774	1814	40							138.65	174.34							
60706	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	7	1844	1874	30							157.52	172.6							
60707	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	8	1974	1984	10							106.35	106.35						0.55881	0.6706300000000001
60708	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	4	1984	2154	170			0.55881	0.6706300000000001	2.91224										
60709	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	9	2234	2254	20							113.85	115.9							
60710	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	5	2314	2444	130			0.60144	0.62741	2.97293										
60711	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	6	2464	2573	110			0.57271	0.63794	2.93539										
60712	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	7	2593	2703	110			0.56362	0.6521	2.9184900000000003										
60713	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	8	2723	2793	70			0.5503399999999999	0.65163	2.9536										
60714	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	10	2793	2813	20							150.61	150.61				0.5503399999999999	0.65163		
