	Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
29283	Recording045	participant01_trial02	Entire Recording	1		Fixation	Partial	1	0	185	185			0.74	0.37513	2.95745										
29284	Recording045	participant01_trial02	Entire Recording	1		Fixation	Partial	2	285	355	70			0.74158	0.38237	2.9123099999999997										
29285	Recording045	participant01_trial02	Entire Recording	1		Saccade	Partial	1	355	385	30							267.0	344.2				0.74158	0.38237		
29286	Recording045	participant01_trial02	Entire Recording	1		Saccade	Partial	2	425	475	50							244.61	304.98						0.49362	0.3418
29287	Recording045	participant01_trial02	Entire Recording	1		Fixation	Whole	3	475	595	120			0.49362	0.3418	2.99874										
29288	Recording045	participant01_trial02	Entire Recording	1		Saccade	Partial	3	595	635	40							341.94	422.33				0.49362	0.3418		
29289	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	4	1084	1104	20							112.32	112.32							
29290	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	5	1124	1144	20							124.8	124.8							
29291	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	6	1154	1184	30							554.07	745.12							
29292	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	7	1204	1244	40							394.85	610.04							
29293	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	8	1364	1384	20							211.96	211.96							
29294	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	9	1404	1464	60							317.96	412.07							
29295	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	10	1484	1524	40							178.84	287.51							
29296	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	11	1544	1584	40							156.01	173.48							
29297	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	12	1634	1654	20							118.08	118.08							
29298	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	4	1674	1854	180			0.32265	0.5664399999999999	2.4316400000000002										
29299	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	5	1874	2164	290			0.42908	0.6423300000000001	2.32908										
29300	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	13	2164	2204	40							158.4	200.08				0.42908	0.6423300000000001		
29301	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	14	4592	4602	10							120.28	120.28							
29302	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	15	4612	4632	20							173.21	185.01							
29303	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	16	4682	4692	10							121.77	121.77							
29304	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	17	4712	4722	10							105.16	105.16							
29305	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	18	4762	4782	20							149.06	149.06							
29306	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	6	4852	4952	100			0.56713	0.58457	2.50482										
29307	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	7	4972	5222	250			0.54009	0.49196000000000006	2.4938599999999997										
29308	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	8	5242	5382	140			0.5827100000000001	0.46242	2.59344										
29309	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	9	5402	5502	100			0.63355	0.48034	2.67015										
29310	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	19	5572	5622	50							365.69	480.3							
29311	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	20	5662	5682	20							156.33	156.33							
29312	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	21	5702	5732	30							322.5	366.67						0.68587	0.49746
29313	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Whole	10	5732	5812	80			0.68587	0.49746	2.7133700000000003										
29314	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	22	5812	5832	20							111.31	111.31				0.68587	0.49746		
29315	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	11	5892	5972	80			0.6091300000000001	0.5966899999999999	2.65729										
29316	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Whole	23	5972	6011	40						246.19	219.12	295.41	12.0			0.6091300000000001	0.5966899999999999	0.5198699999999999	0.79895
29317	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	12	6011	6091	80			0.5198699999999999	0.79895	2.56173										
